Норматив,Время (мин),Время (час),,,,,,,,,,,,,,,,,,
Киров,Метроград,Краснополянская д.13,96,апр. 2025,30,01.05.2025,,Очно-заочное,Завершено,,Азбука,Снег,1,"0,17",16,5,6,,Шубина Н.В.,
Киров,Метроград,Краснополянская д.5,395,апр. 2025,30,01.05.2025,,Очно-заочное,Не состоялось,,Азбука,Тариф,2,"0,42",165,27,1,,Шубина Н.В.,
Киров,Метроград,Краснополянская д.5,395,апр. 2025,30,01.05.2025,,Очно-заочное,Не состоялось,,Азбука,Тариф,2,"0,42",165,27,1,,Шубина Н.В.,
Киров,Метроград,Краснополянская д.7,274,апр. 2025,30,01.05.2025,,Очно-заочное,Завершено,,Азбука,Тариф,3,"0,42",114,13,2,,Шубина Н.В.,
Киров,Метроград,Краснополянская д.9,98,апр. 2025,30,01.05.2025,,Очно-заочное,Завершено,,Азбука,Индекс,1,"0,25",25,8,4,,Шубина Н.В.,
Киров,Метроград,Садаковская д.4а,81,апр. 2025,30,01.05.2025,,Очно-заочное,Завершено,,Азбука,Индекс,1,"0,25",20,7,4,,Шубина Н.В.,
Киров,Точки,Советская 49,102,апр. 2025,30,01.05.2025,,Очно-заочное,Не состоялось,,Азбука,Тариф,1,"0,42",43,14,2,,Шубина Н.В.,
Киров,Знак,Дмитрия Козулева д.5,162,мая 2025,60,30.06.2025,,Очно-заочное,Не состоялось,,Азбука,Шлагбаум,1,"0,25",41,14,4,,Шубина Н.В.,
Киров,Зарядное,4-й Пятилетки д.82,191,июл. 2025,60,30.08.2025,,Очно-заочное,Завершено,№1 от 16.09.2025,Азбука,ДОД,1,"0,75",143,48,1,,Шубина Н.В.,
Киров,Знак,Дмитрия Козулева д.2 к.5,154,июл. 2025,60,30.08.2025,,Очно-заочное,Завершено,№1 от 16.09.2025,Азбука,ДОД,1,"0,75",116,39,2,,Шубина Н.В.,
Киров,Метроград,Краснополянская д.5,395,июл. 2025,30,31.07.2025,,ГИС ЖКХ,Не состоялось,,Азбука,Тариф,3,"0,42",165,18,2,,Шубина Н.В.,
Киров,Метроград,Садаковская д.4,81,июл. 2025,30,31.07.2025,,ГИС ЖКХ,Завершено,,Азбука,Тариф,1,"0,42",34,11,3,,Шубина Н.В.,
Киров,Точки,Свободы д.28 (Булычев),123,окт. 2025,30,31.10.2025,,ГИС ЖКХ,Завершено,№1 от 16.07.2024,Азбука,СД,1,"0,17",21,7,4,,Шубина Н.В.,
Киров,Знак,Энтузиастов д.60 к.2,80,окт. 2025,30,31.10.2025,,ГИС ЖКХ,Завершено,,Собственник,Сплит,1,"0,25",20,7,5,,Шубина Н.В.,
